OBJECTID,PlanningRegion,ARCModelingArea,GEOID,LogRecNo,SumLevel,NAME,OwnOcc_e19,OwnOcc_m19,ValLt50k_e19,ValLt50k_m19,pValLt50k_e19,pValLt50k_m19,Val50_100k_e19,Val50_100k_m19,pVal50_100k_e19,pVal50_100k_m19,Val100_150k_e19,Val100_150k_m19,pVal100_150k_e19,pVal100_150k_m19,Val150_200k_e19,Val150_200k_m19,pVal150_200k_e19,pVal150_200k_m19,Val200_300k_e19,Val200_300k_m19,pVal200_300k_e19,pVal200_300k_m19,Val300_500k_e19,Val300_500k_m19,pVal300_500k_e19,pVal300_500k_m19,Val500k_1m_e19,Val500k_1m_m19,pVal500k_1m_e19,pVal500k_1m_m19,Val1mP_e19,Val1mP_m19,pVal1mP_e19,pVal1mP_m19,ValLt100k_e19,ValLt100k_m19,pValLt100k_e19,pValLt100k_m19,Val100_300k_e19,Val100_300k_m19,pVal100_300k_e19,pVal100_300k_m19,Val300kPlus_e19,Val300kPlus_m19,pVal300kPlus_e19,pVal300kPlus_m19,mMedHUValue_e19,mMedHUValue_m19,SHAPE_Length,SHAPE_Area
173,Middle Georgia,No,31207,3653,ZCTA,ZCTA5 31207,0,13,0,37,,,0,29,,,0,18,,,0,18,,,0,18,,,0,18,,,0,18,,,0,23,,,0,47,,,0,32,,,0,34,,,,,0.0332995977463174,4.31246853201144e-05
174,Middle Georgia,No,31210,3654,ZCTA,ZCTA5 31210,7402,359,174,82,2.4,1.1,881,232,11.9,3.1,1584,234,21.4,3,1469,214,19.8,2.7,1342,231,18.1,3,1238,207,16.7,2.7,683,176,9.2,2.3,31,49,0.4,0.7,1055,246,14.3,3.2,4395,392,59.4,4.4,1952,276,26.4,3.5,183200,11086,0.583062579367639,0.0104123266318693
175,Northwest Georgia,No,30165,3248,ZCTA,ZCTA5 30165,8846,456,600,172,6.8,1.9,2419,373,27.3,4,1717,285,19.4,3.1,1657,279,18.7,3,1066,225,12.1,2.5,989,193,11.2,2.1,368,147,4.2,1.6,30,50,0.3,0.6,3019,410,34.1,4.3,4440,458,50.2,4.5,1387,248,15.7,2.7,142500,7164,2.11234464063801,0.0431566135375694
176,River Valley,No,31905,3850,ZCTA,ZCTA5 31905,6,13,0,54,0,895.7,0,42,0,708.1,6,13,100,304.1,0,27,0,447.8,0,27,0,447.8,0,27,0,447.8,0,27,0,447.8,0,33,0,548.5,0,69,0,1141.8,6,40,100,632.2,0,50,0,837.8,,,1.13028985604284,0.00968944416712556
177,Middle Georgia,No,31211,3655,ZCTA,ZCTA5 31211,3686,317,496,158,13.5,4.1,1428,311,38.7,7.7,734,186,19.9,4.8,534,153,14.5,4,381,129,10.3,3.4,113,72,3.1,1.9,0,30,0,0.8,0,36,0,1,1924,348,52.2,8.3,1649,273,44.7,6.3,113,86,3.1,2.3,96200,10556,0.808930991246557,0.0123390988311811
178,Middle Georgia,No,31213,3656,ZCTA,ZCTA5 31213,0,13,0,37,,,0,29,,,0,18,,,0,18,,,0,18,,,0,18,,,0,18,,,0,23,,,0,47,,,0,32,,,0,34,,,,,0.00643369949341418,2.50832887851461e-06
179,Middle Georgia,No,31216,3657,ZCTA,ZCTA5 31216,4846,251,258,99,5.3,2,803,200,16.6,4,2004,315,41.4,6.1,1104,227,22.8,4.5,505,178,10.4,3.6,172,129,3.5,2.6,0,30,0,0.6,0,36,0,0.8,1061,223,21.9,4.5,3613,427,74.6,7.9,172,137,3.5,2.8,134100,5741,0.844987917498533,0.0138509055065616
180,Middle Georgia,No,31217,3658,ZCTA,ZCTA5 31217,3760,281,1205,228,32,5.6,1559,243,41.5,5.7,492,153,13.1,4,316,115,8.4,3,84,57,2.2,1.5,82,50,2.2,1.3,6,23,0.2,0.6,16,27,0.4,0.7,2764,333,73.5,7,892,200,23.7,5,104,62,2.8,1.6,67400,4203,1.61204656634846,0.0249080383352198
181,Middle Georgia,No,31220,3659,ZCTA,ZCTA5 31220,3634,278,121,91,3.3,2.5,761,196,20.9,5.1,747,199,20.6,5.2,627,168,17.3,4.4,707,194,19.5,5.1,450,127,12.4,3.4,196,81,5.4,2.2,25,38,0.7,1,882,216,24.3,5.6,2081,324,57.3,7.8,671,155,18.5,4,162100,11731,0.788847903175055,0.0125063907398316
182,Coastal Regional Commission,No,31301,3660,ZCTA,ZCTA5 31301,596,163,98,75,16.4,11.8,138,70,23.2,9.9,168,71,28.2,9,145,74,24.3,10.5,30,28,5,4.5,17,26,2.9,4.2,0,18,0,3.1,0,23,0,3.8,236,103,39.6,13.4,343,106,57.6,8.4,17,39,2.9,6.4,111900,13389,0.435843946809033,0.00293320466422062
183,Coastal Regional Commission,No,31302,3661,ZCTA,ZCTA5 31302,2320,238,221,122,9.5,5.2,473,146,20.4,5.9,602,166,25.9,6.7,585,140,25.2,5.4,300,118,12.9,4.9,114,55,4.9,2.3,0,27,0,1.2,25,46,1.1,2,694,190,29.9,7.6,1487,247,64.1,8.4,139,76,6,3.2,138900,12516,0.85154448799963,0.0112280113040985
184,Coastal Regional Commission,No,31303,3662,ZCTA,ZCTA5 31303,721,165,59,57,8.2,7.7,140,83,19.4,10.5,62,38,8.6,5,147,63,20.4,7.4,159,76,22.1,9.3,144,108,20,14.2,10,21,1.4,3,0,23,0,3.1,199,101,27.6,12.4,368,106,51,8.9,154,112,21.4,14.8,180800,32512,0.938051347634407,0.0206264549143811
185,Coastal Regional Commission,No,31304,3663,ZCTA,ZCTA5 31304,35,51,0,37,0,105.1,0,29,0,83.1,0,18,0,52.5,35,53,100,37.1,0,18,0,52.5,0,18,0,52.5,0,18,0,52.5,0,23,0,64.3,0,47,0,133.9,35,59,100,83.1,0,34,0,98.3,,,0.152643785689661,0.000652561367612487
186,Northeast Georgia,No,30663,3495,ZCTA,ZCTA5 30663,768,86,27,37,3.5,4.8,106,51,13.8,6.4,89,45,11.6,5.7,156,57,20.3,7,153,56,19.9,6.9,145,59,18.9,7.4,82,47,10.7,6,10,25,1.3,3.3,133,63,17.3,7.9,398,91,51.8,10.4,237,80,30.9,9.8,202600,22094,0.984237868748298,0.0141330152774533
187,Coastal Regional Commission,No,31305,3664,ZCTA,ZCTA5 31305,1647,249,331,149,20.1,8.5,242,99,14.7,5.6,493,189,29.9,10.5,210,122,12.8,7.2,196,87,11.9,5,40,41,2.4,2.5,129,108,7.8,6.4,6,29,0.4,1.8,573,179,34.8,9.5,899,241,54.6,12.1,175,119,10.6,7.1,121200,14003,1.11407042530256,0.0113451111644997
188,Northwest Georgia,No,30726,3516,ZCTA,ZCTA5 30726,0,13,0,37,,,0,29,,,0,18,,,0,18,,,0,18,,,0,18,,,0,18,,,0,23,,,0,47,,,0,32,,,0,34,,,,,0.0443349133580034,3.36588067854543e-05
189,Coastal Regional Commission,No,31307,3665,ZCTA,ZCTA5 31307,279,111,0,37,0,13.2,44,59,15.8,20.2,53,63,19,21.4,64,71,22.9,23.8,118,109,42.3,35.2,0,18,0,6.6,0,18,0,6.6,0,23,0,8.1,44,70,15.8,24.1,235,145,84.2,39.5,0,34,0,12.3,191600,47339,0.204746521192139,0.000983104681746986
190,Northwest Georgia,No,30728,3517,ZCTA,ZCTA5 30728,5193,333,725,200,14,3.7,1403,256,27,4.6,1195,259,23,4.8,1026,251,19.8,4.7,430,117,8.3,2.2,355,141,6.8,2.7,59,64,1.1,1.2,0,43,0,0.8,2128,324,41,5.7,2651,379,51,6.5,414,161,8,3.1,116500,8282,1.76105372568209,0.0443146556553713
191,Northwest Georgia,No,30730,3518,ZCTA,ZCTA5 30730,585,97,249,83,42.6,12.3,106,46,18.1,7.3,98,50,16.8,8.1,77,37,13.2,6,36,39,6.2,6.6,19,23,3.2,3.9,0,18,0,3.1,0,23,0,3.8,355,95,60.7,12.7,211,74,36.1,11.1,19,37,3.2,6.3,70300,20396,0.634240204752651,0.0140600569763868
192,Coastal Regional Commission,No,31308,3666,ZCTA,ZCTA5 31308,2218,232,376,167,17,7.3,442,154,19.9,6.6,698,178,31.5,7.3,313,110,14.1,4.7,252,96,11.4,4.2,88,49,4,2.2,29,35,1.3,1.6,20,42,0.9,1.9,818,227,36.9,9.5,1263,230,56.9,8.5,137,73,6.2,3.2,122200,12075,1.16251309282394,0.0215014882609404
193,Northwest Georgia,No,30731,3519,ZCTA,ZCTA5 30731,760,154,134,68,17.6,8.2,207,80,27.2,8.9,115,58,15.1,7,114,62,15,7.5,142,89,18.7,11,36,32,4.7,4.1,12,23,1.6,3,0,23,0,3,341,105,44.9,10.3,371,123,48.8,12.7,48,45,6.3,5.8,118800,34789,1.13521965960724,0.0220959097239874
194,Coastal Regional Commission,No,31309,3667,ZCTA,ZCTA5 31309,315,92,34,46,10.8,14.2,180,92,57.1,24,30,23,9.5,6.7,31,33,9.8,9.9,40,51,12.7,15.7,0,18,0,5.8,0,18,0,5.8,0,23,0,7.1,214,103,67.9,25.9,101,65,32.1,18.2,0,34,0,10.9,90400,38620,0.410338131056446,0.00643747263387908
195,Northwest Georgia,No,30733,3520,ZCTA,ZCTA5 30733,532,91,76,62,14.3,11.5,216,76,40.6,12.4,111,51,20.9,9,49,32,9.2,5.8,35,30,6.6,5.5,17,24,3.2,4.5,25,38,4.7,7.1,3,19,0.6,3.6,292,98,54.9,15.9,195,68,36.7,11,45,49,8.5,9.1,91300,15450,0.350061470773564,0.00392011605443604
196,Northwest Georgia,No,30734,3521,ZCTA,ZCTA5 30734,997,198,160,78,16,7.1,155,97,15.5,9.2,154,106,15.4,10.2,169,117,17,11.2,194,105,19.5,9.8,119,81,11.9,7.8,19,24,1.9,2.4,27,48,2.7,4.8,315,124,31.6,10.7,517,190,51.9,16,165,97,16.5,9.2,155400,20357,1.0683389849625,0.0194725018155871
197,Northwest Georgia,No,30735,3522,ZCTA,ZCTA5 30735,1920,258,280,118,14.6,5.8,439,160,22.9,7.7,358,174,18.6,8.7,441,164,23,8,229,129,11.9,6.5,122,76,6.4,3.8,31,34,1.6,1.8,20,42,1,2.2,719,199,37.4,9,1028,271,53.5,12.2,173,93,9,4.7,122300,28640,1.10181254069598,0.0159964791907316
198,Northwest Georgia,No,30736,3523,ZCTA,ZCTA5 30736,12518,535,832,219,6.6,1.7,1389,279,11.1,2.2,3182,375,25.4,2.8,3005,373,24,2.8,2369,372,18.9,2.9,1383,262,11,2,271,116,2.2,0.9,87,60,0.7,0.5,2221,354,17.7,2.7,8556,647,68.3,4.3,1741,293,13.9,2.3,163800,5938,1.2298429748372,0.0329034619860505
199,Northwest Georgia,No,30738,3524,ZCTA,ZCTA5 30738,1379,182,218,90,15.8,6.2,279,117,20.2,8.1,215,83,15.6,5.6,200,82,14.5,5.6,211,90,15.3,6.2,177,69,12.8,4.7,79,52,5.7,3.7,0,23,0,1.6,497,148,36,9.6,626,147,45.4,8.8,256,89,18.6,6,143800,31234,1.22624728844334,0.0219815051478925
200,Northwest Georgia,No,30739,3525,ZCTA,ZCTA5 30739,1720,244,79,70,4.6,4,100,65,5.8,3.7,602,177,35,9,259,107,15.1,5.8,545,182,31.7,9.6,126,73,7.3,4.1,9,24,0.5,1.4,0,33,0,1.9,179,95,10.4,5.4,1406,276,81.7,11.1,135,84,7.8,4.7,161600,19951,0.66246303332333,0.00641268059323246
201,Northwest Georgia,No,30740,3526,ZCTA,ZCTA5 30740,2752,270,270,113,9.8,4,493,181,17.9,6.3,606,185,22,6.4,416,131,15.1,4.5,644,180,23.4,6.1,207,95,7.5,3.4,116,63,4.2,2.3,0,33,0,1.2,763,213,27.7,7.2,1666,290,60.5,8.7,323,119,11.7,4.2,150600,18028,0.695651441924841,0.0129880116178554
202,Northwest Georgia,No,30741,3527,ZCTA,ZCTA5 30741,7559,433,1161,271,15.4,3.5,2851,388,37.7,4.7,2122,306,28.1,3.7,817,208,10.8,2.7,519,172,6.9,2.2,9,30,0.1,0.4,80,66,1.1,0.9,0,43,0,0.6,4012,473,53.1,5.5,3458,408,45.7,4.7,89,84,1.2,1.1,95500,6231,0.695983535729553,0.00637199752722858
203,Northwest Georgia,No,30742,3528,ZCTA,ZCTA5 30742,1556,184,80,73,5.1,4.6,536,179,34.4,10.8,519,147,33.4,8.6,300,118,19.3,7.2,106,82,6.8,5.2,15,31,1,2,0,27,0,1.7,0,33,0,2.1,616,193,39.6,11.5,925,206,59.4,11.2,15,52,1,3.4,116200,12932,0.246364607843801,0.000856110412321891
204,Northwest Georgia,No,30746,3529,ZCTA,ZCTA5 30746,311,116,35,51,11.3,16,77,98,24.8,30.2,58,54,18.6,15.8,54,52,17.4,15.3,72,60,23.2,17.4,0,18,0,5.9,15,28,4.8,8.9,0,23,0,7.2,112,111,36,33,184,96,59.2,21.6,15,40,4.8,12.9,128700,59648,0.393796086664572,0.00424803885360491
205,Northwest Georgia,No,30747,3530,ZCTA,ZCTA5 30747,3942,272,1169,236,29.7,5.6,1383,245,35.1,5.7,365,111,9.3,2.7,473,150,12,3.7,381,107,9.7,2.6,61,39,1.5,1,96,55,2.4,1.4,14,36,0.4,0.9,2552,340,64.7,7.4,1219,215,30.9,5,171,76,4.3,1.9,74700,5967,1.88215558718894,0.0465832891320938
206,Northwest Georgia,No,30750,3531,ZCTA,ZCTA5 30750,1040,144,92,73,8.8,7,43,42,4.1,4,152,72,14.6,6.7,67,41,6.4,3.9,243,72,23.4,6.1,201,47,19.3,3.6,195,55,18.8,4.6,47,28,4.5,2.6,135,85,13,8,462,110,44.4,8.6,443,77,42.6,4.5,269200,27481,0.40695765582509,0.0033719267472901
207,Northwest Georgia,No,30751,3532,ZCTA,ZCTA5 30751,20,24,12,40,60,185.4,8,29,40,137.2,0,18,0,91.9,0,18,0,91.9,0,18,0,91.9,0,18,0,91.9,0,18,0,91.9,0,23,0,112.6,20,49,100,215.2,0,32,0,159.2,0,34,0,172,,,0.0766776092956418,0.000145337807455556
208,Northwest Georgia,No,30752,3533,ZCTA,ZCTA5 30752,2326,209,444,131,19.1,5.4,425,117,18.3,4.7,599,155,25.8,6.2,417,139,17.9,5.7,249,86,10.7,3.6,183,91,7.9,3.8,9,24,0.4,1,0,33,0,1.4,869,176,37.4,6.8,1265,225,54.4,8.3,192,100,8.3,4.2,122600,12734,0.791192174079166,0.0199247889174629
209,Northwest Georgia,No,30753,3534,ZCTA,ZCTA5 30753,1690,186,644,168,38.1,9,594,151,35.1,8.1,223,119,13.2,6.9,92,61,5.4,3.5,59,41,3.5,2.4,61,46,3.6,2.7,17,21,1,1.2,0,33,0,1.9,1238,226,73.3,10.7,374,140,22.1,7.9,78,60,4.6,3.5,71700,13559,0.728980025892582,0.0104254538265252
210,Northwest Georgia,No,30755,3535,ZCTA,ZCTA5 30755,2547,262,352,128,13.8,4.8,472,130,18.5,4.7,789,203,31,7.3,458,145,18,5.4,190,73,7.5,2.7,212,98,8.3,3.7,74,62,2.9,2.4,0,33,0,1.3,824,182,32.4,6.3,1437,260,56.4,8.4,286,120,11.2,4.6,125500,9671,0.613743491914641,0.0091075269029558
211,Northwest Georgia,No,30756,3536,ZCTA,ZCTA5 30756,26,23,0,37,0,141.4,26,33,100,93.5,0,18,0,70.7,0,18,0,70.7,0,18,0,70.7,0,18,0,70.7,0,18,0,70.7,0,23,0,86.6,26,50,100,169.5,0,32,0,122.5,0,34,0,132.3,80700,7720,0.0556974199831084,3.45393232544302e-05
212,Northwest Georgia,No,30757,3537,ZCTA,ZCTA5 30757,632,192,137,100,21.7,14.4,117,83,18.5,11.8,196,132,31,18.7,104,96,16.5,14.3,58,53,9.2,7.8,20,37,3.2,5.8,0,18,0,2.9,0,23,0,3.6,254,130,40.2,16.5,358,172,56.6,21,20,47,3.2,7.4,113000,25626,0.495394990113525,0.00438975771880717
213,Central Savannah River Area,No,30802,3538,ZCTA,ZCTA5 30802,1557,228,112,79,7.2,5,269,105,17.3,6.3,115,78,7.4,4.9,293,142,18.8,8.7,428,139,27.5,8,270,108,17.3,6.4,70,57,4.5,3.6,0,33,0,2.1,381,132,24.5,7.7,836,214,53.7,11.2,340,126,21.8,7.4,197200,30100,1.1860562341584,0.0372132435673637
214,Central Savannah River Area,No,30803,3539,ZCTA,ZCTA5 30803,237,51,57,29,24.1,11.2,99,39,41.8,13.9,33,26,13.9,10.4,30,24,12.7,9.9,14,18,5.9,7.4,0,18,0,7.8,4,14,1.7,5.9,0,23,0,9.5,156,49,65.8,15,77,40,32.5,15.2,4,32,1.7,13.6,80400,31333,0.828056381505412,0.0138552176863383
215,Central Savannah River Area,No,30805,3540,ZCTA,ZCTA5 30805,710,138,198,92,27.9,11.8,211,74,29.7,8.7,91,52,12.8,6.9,101,53,14.2,7,87,45,12.3,5.8,22,37,3.1,5.2,0,18,0,2.6,0,23,0,3.2,409,118,57.6,12.3,279,87,39.3,9.6,22,47,3.1,6.6,88200,15105,0.960878624142498,0.00888551620315094
216,Atlanta Regional Commission,Yes,30294,3316,ZCTA,ZCTA5 30294,10601,577,549,214,5.2,2,1406,270,13.3,2.4,3194,514,30.1,4.6,2970,436,28,3.8,1936,408,18.3,3.7,377,154,3.6,1.4,122,114,1.2,1.1,47,59,0.4,0.6,1955,344,18.4,3.1,8100,788,76.4,6.2,546,200,5.2,1.9,151900,5719,0.867119344865509,0.00821639193074535
217,Three Rivers,No,30295,3317,ZCTA,ZCTA5 30295,1113,160,85,81,7.6,7.2,137,71,12.3,6.1,325,108,29.2,8.7,286,99,25.7,8.1,113,68,10.2,5.9,96,63,8.6,5.5,71,60,6.4,5.4,0,23,0,2,222,108,19.9,9.2,724,161,65,11.1,167,90,15,7.8,151200,11801,0.747894339790017,0.0111286641475766
218,Atlanta Regional Commission,Yes,30296,3318,ZCTA,ZCTA5 30296,5814,429,270,112,4.6,1.9,2161,346,37.2,5.3,2144,325,36.9,4.9,826,221,14.2,3.7,331,125,5.7,2.1,72,70,1.2,1.2,10,30,0.2,0.5,0,43,0,0.7,2431,364,41.8,5.4,3301,413,56.8,5.7,82,88,1.4,1.5,110400,5992,0.363015662719762,0.00267426577567971
219,Southwest Georgia,No,39866,3877,ZCTA,ZCTA5 39866,105,32,31,25,29.5,22,40,25,38.1,20.7,18,14,17.1,12.7,2,14,1.9,12.9,14,15,13.3,13.6,0,18,0,17.5,0,18,0,17.5,0,23,0,21.4,71,35,67.6,26.5,34,25,32.4,21.4,0,34,0,32.8,77300,14619,0.907555715765943,0.0139849736449794
220,Atlanta Regional Commission,Yes,30297,3319,ZCTA,ZCTA5 30297,3433,308,947,214,27.6,5.7,1682,260,49,6.2,324,103,9.4,2.9,191,101,5.6,2.9,191,142,5.6,4.1,86,68,2.5,2,12,31,0.3,0.9,0,43,0,1.3,2629,337,76.6,7,706,202,20.6,5.6,98,87,2.9,2.5,67000,3344,0.389597307723212,0.00277675461523028
221,River Valley,No,39867,3878,ZCTA,ZCTA5 39867,153,63,41,52,26.8,31.9,40,44,26.1,26.5,42,41,27.5,24.4,23,19,15,10.6,7,17,4.6,11,0,18,0,12,0,18,0,12,0,23,0,14.7,81,68,52.9,38.5,72,48,47.1,24.9,0,34,0,22.5,98000,20361,1.3166766089094,0.0215101532853015
222,Atlanta Regional Commission,Yes,30303,3320,ZCTA,ZCTA5 30303,361,103,0,54,0,14.9,62,43,17.2,11,91,65,25.2,16.4,112,64,31,15.5,59,54,16.3,14.3,30,29,8.3,7.7,7,22,1.9,6.1,0,33,0,9.1,62,69,17.2,18.5,262,106,72.6,20.9,37,49,10.2,13.3,161900,18662,0.11144421545236,0.000263003646646765
223,Atlanta Regional Commission,Yes,30305,3321,ZCTA,ZCTA5 30305,7051,438,40,68,0.6,1,255,151,3.6,2.1,568,178,8.1,2.5,447,190,6.3,2.7,649,189,9.2,2.6,1056,221,15,3,2359,273,33.5,3.3,1677,242,23.8,3.1,295,165,4.2,2.3,1664,322,23.6,4.3,5092,427,72.2,4.1,588900,40971,0.257421959588469,0.00163108248217023
224,Atlanta Regional Commission,Yes,30306,3322,ZCTA,ZCTA5 30306,6248,312,14,69,0.2,1.1,72,82,1.2,1.3,168,104,2.7,1.7,354,104,5.7,1.6,445,119,7.1,1.9,840,173,13.4,2.7,3491,287,55.9,3.6,864,172,13.8,2.7,86,107,1.4,1.7,967,189,15.5,2.9,5195,377,83.1,4.4,652600,22663,0.204810412043956,0.00110569752313064
225,Southwest Georgia,No,39870,3879,ZCTA,ZCTA5 39870,559,103,79,42,14.1,7.1,234,84,41.9,12.9,120,68,21.5,11.5,43,35,7.7,6.2,16,15,2.9,2.6,67,58,12,10.2,0,18,0,3.3,0,23,0,4,313,94,56,13.3,179,78,32,12.7,67,65,12,11.4,91200,22277,1.59343986069283,0.0464932492269737
226,GM / NE,No,30530,3424,ZCTA,ZCTA5 30530,1917,230,367,129,19.1,6.4,372,130,19.4,6.4,300,112,15.6,5.5,358,126,18.7,6.2,375,103,19.6,4.9,121,70,6.3,3.6,6,21,0.3,1.1,18,34,0.9,1.8,739,183,38.5,8.4,1033,198,53.9,8.1,145,81,7.6,4.1,124500,28442,1.08301296523797,0.0200137000003818
227,Atlanta Regional Commission,Yes,30307,3323,ZCTA,ZCTA5 30307,5323,335,0,71,0,1.3,36,52,0.7,1,115,63,2.2,1.2,236,87,4.4,1.6,616,152,11.6,2.8,1499,177,28.2,2.8,2374,234,44.6,3.4,447,120,8.4,2.2,36,88,0.7,1.6,967,187,18.2,3.3,4320,317,81.2,3.1,527400,28946,0.279496465863105,0.00115196942796036
228,RV / SW,No,39877,3880,ZCTA,ZCTA5 39877,156,49,46,28,29.5,15.7,63,38,40.4,20.5,21,16,13.5,9.2,9,10,5.8,6.4,17,17,10.9,10.5,0,18,0,11.8,0,18,0,11.8,0,23,0,14.4,109,47,69.9,20.8,47,26,30.1,13.4,0,34,0,22,68700,16783,0.77778074214711,0.0101613121158059
229,Georgia Mountains,Partial,30531,3425,ZCTA,ZCTA5 30531,2719,258,345,145,12.7,5.2,496,158,18.2,5.5,599,155,22,5.3,732,206,26.9,7.1,391,131,14.4,4.6,141,74,5.2,2.7,15,32,0.6,1.2,0,36,0,1.3,841,214,30.9,7.3,1722,289,63.3,8.8,156,89,5.7,3.2,143000,15155,0.836794531853571,0.00983413777574564
230,Atlanta Regional Commission,Yes,30308,3324,ZCTA,ZCTA5 30308,3369,293,27,61,0.8,1.8,51,49,1.5,1.4,239,103,7.1,3,397,136,11.8,3.9,914,228,27.1,6.3,960,223,28.5,6.1,689,204,20.5,5.8,92,75,2.7,2.2,78,78,2.3,2.3,1550,285,46,7.5,1741,311,51.7,8.1,310200,33160,0.127978759896048,0.000401959606737856
231,Southwest Georgia,No,39885,3881,ZCTA,ZCTA5 39885,26,16,0,37,0,141.4,8,21,30.8,77.2,11,11,42.3,34.9,3,14,11.5,53.1,4,7,15.4,26.1,0,18,0,70.7,0,18,0,70.7,0,23,0,86.6,8,42,30.8,161.1,18,19,69.2,61,0,34,0,132.3,125000,31563,0.0433909631894513,7.32334551143999e-05
232,Georgia Mountains,Partial,30533,3426,ZCTA,ZCTA5 30533,6624,356,485,183,7.3,2.7,703,198,10.6,2.9,871,249,13.1,3.7,1568,340,23.7,5,1515,272,22.9,3.9,771,175,11.6,2.6,692,204,10.4,3,19,46,0.3,0.7,1188,270,17.9,4,3954,502,59.7,6.9,1482,273,22.4,3.9,189900,9279,1.54024885335078,0.0559842182343372
233,Atlanta Regional Commission,Yes,30309,3325,ZCTA,ZCTA5 30309,7161,455,33,74,0.5,1,190,131,2.7,1.8,474,178,6.6,2.4,741,180,10.3,2.4,1636,282,22.8,3.7,1615,267,22.6,3.4,1534,297,21.4,3.9,938,219,13.1,2.9,223,151,3.1,2.1,2851,378,39.8,4.6,4087,456,57.1,5.2,345500,24388,0.190999250070473,0.000871039449016405
234,Atlanta Regional Commission,Yes,30002,3149,ZCTA,ZCTA5 30002,1612,131,13,50,0.8,3.1,70,55,4.3,3.4,148,65,9.2,3.9,176,57,10.9,3.5,298,84,18.5,5,559,108,34.7,6.1,348,77,21.6,4.5,0,33,0,2,83,74,5.1,4.6,622,121,38.6,6.8,907,137,56.3,7.1,329900,21985,0.166664373856407,0.000429655889631646
235,RV / SW,No,39886,3882,ZCTA,ZCTA5 39886,384,101,117,51,30.5,10.5,167,63,43.5,11.7,36,29,9.4,7.1,10,10,2.6,2.5,26,19,6.8,4.7,2,14,0.5,3.5,6,15,1.6,3.8,20,30,5.2,7.8,284,81,74,7.9,72,36,18.8,8,28,36,7.3,9.3,66900,14595,1.38820919984757,0.0304921665624265
236,ARC / GM / NW,Partial,30534,3427,ZCTA,ZCTA5 30534,8679,463,626,216,7.2,2.5,705,223,8.1,2.5,915,220,10.5,2.5,1443,265,16.6,2.9,2264,341,26.1,3.7,1381,255,15.9,2.8,992,231,11.4,2.6,353,165,4.1,1.9,1331,310,15.3,3.5,4622,485,53.3,4.8,2726,381,31.4,4.1,223300,11912,2.03200324098394,0.0593371533147432
237,Atlanta Regional Commission,Yes,30310,3326,ZCTA,ZCTA5 30310,4600,310,473,119,10.3,2.5,1073,222,23.3,4.6,714,156,15.5,3.2,660,118,14.3,2.4,919,151,20,3,622,135,13.5,2.8,98,48,2.1,1,41,28,0.9,0.6,1546,252,33.6,5,2293,247,49.8,4.2,761,146,16.5,3,152500,11720,0.316329655710007,0.00222415865990271
238,ARC / GM,Yes,30004,3150,ZCTA,ZCTA5 30004,18024,732,261,119,1.4,0.7,182,137,1,0.8,396,153,2.2,0.8,1359,318,7.5,1.7,3266,480,18.1,2.6,5664,538,31.4,2.7,6028,510,33.4,2.5,868,271,4.8,1.5,443,181,2.5,1,5021,596,27.9,3.1,12560,790,69.7,3.3,420300,13596,1.06376386387621,0.0147141286538551
239,Georgia Mountains,No,30535,3428,ZCTA,ZCTA5 30535,2187,203,162,86,7.4,3.9,374,140,17.1,6.2,443,120,20.3,5.1,474,135,21.7,5.9,471,125,21.5,5.4,137,65,6.3,2.9,87,56,4,2.5,39,48,1.8,2.2,536,164,24.5,7.1,1388,220,63.5,8.2,263,98,12,4.3,158300,10668,0.537995991896593,0.00750651653055286
240,Atlanta Regional Commission,Yes,30311,3327,ZCTA,ZCTA5 30311,5559,377,560,136,10.1,2.3,1294,219,23.3,3.6,1281,262,23,4.5,1066,257,19.2,4.4,590,169,10.6,3,596,211,10.7,3.7,155,115,2.8,2.1,17,48,0.3,0.9,1854,258,33.4,4,2937,404,52.8,6.3,768,245,13.8,4.3,130000,11394,0.310940472255489,0.00314076592886506
241,ARC / GM,Yes,30005,3151,ZCTA,ZCTA5 30005,9145,328,24,79,0.3,0.9,88,83,1,0.9,101,66,1.1,0.7,205,111,2.2,1.2,927,200,10.1,2.2,4792,370,52.4,3.6,2870,288,31.4,2.9,138,75,1.5,0.8,112,115,1.2,1.3,1233,238,13.5,2.6,7800,475,85.3,4.2,441800,7484,0.47801605238315,0.00376148181421893
242,Northwest Georgia,No,30536,3429,ZCTA,ZCTA5 30536,2637,232,209,83,7.9,3.1,290,106,11,3.9,137,66,5.2,2.5,662,145,25.1,5.1,798,166,30.3,5.7,466,145,17.7,5.3,66,50,2.5,1.9,9,31,0.3,1.2,499,135,18.9,4.8,1597,231,60.6,6.9,541,157,20.5,5.7,202800,21372,1.28359156241362,0.0393231480715037
243,Atlanta Regional Commission,Yes,30312,3328,ZCTA,ZCTA5 30312,4281,342,76,71,1.8,1.7,174,105,4.1,2.4,356,144,8.3,3.3,605,149,14.1,3.3,906,174,21.2,3.7,1387,202,32.4,3.9,720,143,16.8,3.1,57,40,1.3,0.9,250,127,5.8,2.9,1867,271,43.6,5.3,2164,250,50.5,4.2,302700,18449,0.25688053312734,0.000845170744880913
